reaction,count
:ohayo_shrimp:,2760
:ohan_yoyo:,2240
:igyo:,1876
:oyashrimp:,1809
:petpet:,1808
:kawaii:,1730
:otsukaresamadesu:,1566
:ablobcatfloofpat:,1340
:blobcataww:,1068
:blobtoofast:,1038
:meowhuggies:,966
:meowpensivepray:,937
:niganiga_nade:,909
:kawaii_xtu__i:,808
:ablobcatfloofpatfast:,762
:_ne:,750
:n_huhu:,738
:ablobcatnodmeltcry:,596
:suge_ltu:,532
:iinee:,512
:aa:,498
:Shiropuyo_kirakiraeye:,496
:uwa_xtu:,491
:yoo__i:,468
:bb_ohayo:,465
:erashrimp:,436
:suteki2:,431
:ohayoo:,421
:Shiropuyo_jururi:,419
:ja_oyoo:,412
:Shiropuyo_kusa:,402
:Shiropuyo_igyo:,392
:wakaru:,391
:smiling_meow_cyclops:,386
:blob_super_nod:,375
❤,354
:utsukushii:,351
:omedetougozaimasuza:,347
:jorrycat_yeah:,344
:araa:,342
:kumapu_ouen:,340
:kawaii2:,338
:ohayo:,335
:blobwani_cheerup:,332
:blob_hyper_nod:,324
:iina_:,322
:oya_shrimp:,321
:jorrycat_smile:,319
:kawaiine:,319
:kawaekawae:,312
:kokumin_eiyosho:,295
:ablobcatcryingcute:,294
:blobwani_hungry:,288
:supertada:,283
:oltu:,270
:jorrycat_wow:,265
:resonyance:,265
:yokaccha_focaccia:,260
:aruaru:,259
:ablobcat_hyper_nod:,252
:kusa:,246
:ne_:,239
:ara_suteki:,238
:okiwotsukete:,236
:ganbatta_ne:,235
:erait:,231
:blobcat_huggies:,226
:parrot_sorena:,222
:ablobcat_no_dakko:,220
:Shiropuyo_sugoi:,220
:yamo:,219
:taisetsu:,217
:yatta_:,217
:a:,216
:happy:,215
:4ttenakuinuanim:,212
:uhyo:,208
:yukkuri_yasunde:,207
:kawayo:,207
:otsukaresama:,206
:ameow_bop:,201
:hie:,199
:ohayougozaimashrimpman:,199
:jorrycat_happy:,196
:Shiropuyo_thankyou:,193
:Shiropuyo_wakaru:,189
:yosugi2:,187
:ippaiotabe:,186
:sempuki:,186
:meow_noddies:,185
:gobuunwo:,185
:Shiropuyo_naruhodo:,184
:eyes_fidgeting:,183
:polarbear_hayasugi:,182
:oremo:,180
:naruhodo:,180
:saikou:,180
:uoooo:,177
:ofutonkaketeagemashoune:,176
:blobcat_siwasiwacry:,173
(100 rows)
